"year","experiment","genotype","subplot_id","trait","data","exp"
2013,"density","B100",33032,"lfblade_area",16.634225,"dn13.sim"
2013,"density","B100",33043,"lfblade_area",20.06142,"dn13.sim"
2013,"density","B100",33054,"lfblade_area",15.71389,"dn13.sim"
2013,"density","B100",33092,"lfblade_area",29.66896,"dn13.sim"
2013,"density","B100",33102,"lfblade_area",19.19048,"dn13.sim"
2013,"density","B100",33131,"lfblade_area",24.322325,"dn13.sim"
2013,"density","B100",33146,"lfblade_area",29.46388,"dn13.sim"
2013,"density","B100",34023,"lfblade_area",14.20281,"dn13.sim"
2013,"density","B100",34025,"lfblade_area",25.29808,"dn13.sim"
2013,"density","B100",34066,"lfblade_area",20.793875,"dn13.sim"
2013,"density","RIL_001",31131,"lfblade_area",9.31531,"dn13.sim"
2013,"density","RIL_001",32024,"lfblade_area",31.10011,"dn13.sim"
2013,"density","RIL_001",33005,"lfblade_area",18.907615,"dn13.sim"
2013,"density","RIL_001",34046,"lfblade_area",25.21245,"dn13.sim"
2013,"density","RIL_002",32152,"lfblade_area",17.056235,"dn13.sim"
2013,"density","RIL_004",32163,"lfblade_area",32.432575,"dn13.sim"
2013,"density","RIL_005",31208,"lfblade_area",6.16581,"dn13.sim"
2013,"density","RIL_005",32109,"lfblade_area",11.16056,"dn13.sim"
2013,"density","RIL_005",33124,"lfblade_area",9.637825,"dn13.sim"
2013,"density","RIL_005",34026,"lfblade_area",11.644235,"dn13.sim"
2013,"density","RIL_008",31175,"lfblade_area",7.801525,"dn13.sim"
2013,"density","RIL_008",32123,"lfblade_area",24.48017,"dn13.sim"
2013,"density","RIL_008",33137,"lfblade_area",18.67276,"dn13.sim"
2013,"density","RIL_008",34093,"lfblade_area",27.91538,"dn13.sim"
2013,"density","RIL_010",31013,"lfblade_area",7.616305,"dn13.sim"
2013,"density","RIL_010",32052,"lfblade_area",19.945555,"dn13.sim"
2013,"density","RIL_010",33121,"lfblade_area",17.41183,"dn13.sim"
2013,"density","RIL_010",34012,"lfblade_area",13.587275,"dn13.sim"
2013,"density","RIL_011",31127,"lfblade_area",16.11648,"dn13.sim"
2013,"density","RIL_011",32174,"lfblade_area",39.371815,"dn13.sim"
2013,"density","RIL_011",33031,"lfblade_area",27.15359,"dn13.sim"
2013,"density","RIL_013",32008,"lfblade_area",27.305095,"dn13.sim"
