"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","sim_lfblade_area","sim_lfblade_weight","sim_lfblade_width","sim_lfblade_length","stag_lfblade_area","stag_lfblade_weight","stag_lfblade_width","stag_lfblade_length","sim_SLA","stag_SLA","sim_gN.m2","stag_gN.m2","sim_gC.m2","stag_gC.m2","sim_CN_ratio","stag_CN_ratio","sim_d13C","stag_d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","branch_number_cbrt","leaf_number","panicle_number","panicle_length","tiller_height","tiller_number"
354,"DN13",2013,"thick","31",31040,"RIL_033","null",10.672762952484,0.0367202233284035,17.0360128316863,142.593125567135,NA,NA,NA,NA,289.367138862347,NA,1.1390659555247,1.46757651859793,18.7033523219104,21.4632757394593,16.345213708122,15.5460426563182,-12.621111851948,-12.9557959256323,41.3788618346768,1.59328459711885,0.645793525045291,0.971944487423122,0.426477340357103,2.22769907022402,0.422473421765762,0.287510839081904,290.917401002861,1.00288123534563,26.0368748316242,6.46809317148977,87.466363988044,236.896522202071,3.36510213503564
355,"DN13",2013,"thick","31",31041,"RIL_206","null",12.57359366422,0.051147996480603,16.9769572909469,147.556830664045,12.1944172226889,0.0506658548538044,16.9830270690937,145.338341259052,253.067879890684,242.330459508895,1.33779837781644,1.54954312114906,20.5189852357084,21.9202504282802,16.5896635974378,15.778323295235,-13.1102638972302,-13.168859156673,38.7083119535724,1.52638315676337,0.504861772683959,1.01919580624019,0.532283602520994,2.08668314653033,0.380114846767087,0.239681192030177,342.427284184494,0.926130157661221,14.7888235438543,4.71337980494057,51.7949731903292,NA,1.65903928433079
356,"DN13",2013,"thick","31",31042,"RIL_029","null",14.2570239257146,0.0540152939069818,18.730832576919,184.36784544319,NA,NA,NA,NA,266.613601355386,NA,1.13659104465166,1.45944158334699,19.7173640038087,22.6637096487908,17.2697378515033,16.0604353783921,-12.9231477809134,-13.0519849268641,41.8617803358652,2.07136986452403,0.629210305020011,1.42033265607306,1.01933366533102,3.13388023703807,0.478905780822354,0.201802969137363,422.522210940497,1.48697790975522,15.5021894824416,5.24399394244118,86.0823964112635,NA,1.47408551210863
357,"DN13",2013,"thick","31",31043,"RIL_134","null",12.3773588206583,0.0508073724442312,16.2559636308515,147.984678878278,NA,NA,NA,NA,251.521090977369,NA,1.3292547222906,1.52248792512495,20.5680566057395,23.2919832871006,15.8289049219381,15.8248684866275,-12.9501728961655,-13.0138410125825,41.3788618346768,2.30910844556692,0.751038494312995,1.5435689202504,1.07285055430908,3.45231566264318,0.450184917076493,0.215987475602796,455.628194199965,1.74806793672665,18.8006477582015,6.65443197987607,68.0562153214743,297.913644081996,1.78829881454867
358,"DN13",2013,"thick","31",31044,"RIL_060","null",23.0039172637125,0.0746101369867126,17.3896734201913,252.714508024488,20.495050354557,0.0873795105219839,18.3782421652377,229.87022167349,269.388969736485,241.46263988234,1.44331899186903,1.66996920242304,21.6810372118752,23.9128856110405,15.862846076361,14.6495287170855,-13.0652039928771,-13.1642468664981,50.6507920650796,2.42856861667581,0.990044013834471,1.46534114270139,1.6367495332315,4.36849407572983,0.65464241236601,0.221492697018083,387.303992673861,0.429485534667229,17.6216864892024,1.91081848795036,133.81889963548,281.12066035896,1.8883493688422
359,"DN13",2013,"thick","31",31045,"RIL_016","null",11.9076828698186,0.044932718746779,15.980078861765,145.152383306684,12.5116922961091,0.0568006374490118,16.3862224188341,149.817626707605,266.758717071111,234.843138909706,1.35702906785082,1.61725129330198,20.618857685363,22.9325011106654,15.8487735808937,14.6778145409361,-12.9768821687529,-13.1513469946548,37.5757564426921,1.56170577471549,0.491707013921145,1.05842942463253,0.522592457145855,2.10995674738425,0.381852700266121,0.235915124343057,312.928638982011,1.43505547734909,20.4781637656003,5.9441961791807,72.3007726885622,210.332165654254,2.44112930068238
360,"DN13",2013,"thick","31",31046,"RIL_170","null",21.1782443235657,0.0757269774260583,18.583996173673,279.475412354103,NA,NA,NA,NA,263.442394549351,NA,1.27968610233873,NA,18.9358895929824,NA,15.4082521359833,NA,-13.0304750721016,NA,63.1027237698849,3.71092781754633,1.30638032933852,2.39418280640713,1.47867641163517,5.43471235175463,0.416255038152038,0.231122759012035,723.40536283197,0.594502146472361,15.4516120672617,1.54744083109918,140.37771133995,497.974521750833,1.82357113147412
361,"DN13",2013,"thick","31",31047,"RIL_031","null",12.1934128280523,0.0479863203637251,18.7894486420701,150.124798855121,12.5449533976734,0.0467237613965923,16.7877886169243,150.614259580748,265.084253503096,256.961819591579,1.53607285773663,1.57249696670045,20.9482323086679,21.750350663325,15.1451766185709,14.6065661709129,-13.0910416365216,-12.8960924076263,35.3423805698211,1.38127804783216,0.349762305196334,1.00322078886918,0.517982016568136,1.92955758559251,0.412848109513567,0.188591161410148,389.452858053203,1.61352512616909,16.4869588655048,6.1906476097595,71.5792281845217,NA,1.77222881532089
362,"DN13",2013,"thick","31",31048,"RIL_105","null",8.76904611854424,0.0352475112562247,15.9527939817226,113.990193982611,10.3222539277593,0.0430741886510507,15.2112041155377,123.087595586537,261.263158200784,241.730941388736,1.2430122090525,1.45609494576738,20.1639012587815,20.7686955643311,16.4851377686685,16.112131440077,-13.0930338103295,-12.9392116150751,36.0667583216037,1.31551225306237,0.45006302273525,0.863815747276839,0.552447965814011,1.86938549571773,0.419583214671306,0.249474040586688,243.274763917724,1.50160159950128,20.9036165558449,5.46765411672387,55.5409108807801,166.560737257659,2.01295765159439
363,"DN13",2013,"thick","31",31049,"RIL_163","null",7.83339269727156,0.0276013976100036,14.1271622185172,112.941703334456,12.3600474998005,0.055521828124579,16.3178003208902,142.646466906645,303.974254878115,240.287872441946,1.31230971147188,1.53609318717183,21.029067187436,22.8125289463059,16.75795214315,15.645091308776,-13.0128268701515,-13.0785198237556,37.9984323263576,1.38677640711051,0.480635390535494,0.912815500691626,0.640225860288973,2.02043763265059,0.449874734018925,0.235387749927442,269.458616173058,1.60271809841303,20.7442870122831,7.1413852321889,70.8997431912998,199.495165688507,2.41357960431537
