"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","lfblade_area","lfblade_length","lfblade_width","lfblade_weight","SLA","gN.m2","gC.m2","CN_ratio","d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","leaf_number","panicle_number","tiller_height","tiller_number","basal_circumference","dead_percent","green_percent","leaf_number_dead","leaf_number_green"
42,"DR15",2015,"dry","03",50342,"RIL_043","null",22.7109178623566,215.147050375938,17.5875154082301,0.0930214100465143,272.609574101486,1.38140316664892,18.4515423721692,13.7475666391416,-12.434248947499,31.7860309560459,1.7154193912174,0.561538255374488,1.15535472349706,2.76557014027603,4.50247658788731,1.62070941204025,0.126369691843715,484.995382997566,11.4660329376959,1.06878455864017,NA,1.05748315246214,22.7478902504098,0.36978608850614,0.630213911350379,4.84802298502982,7.4329828731179
43,"DR15",2015,"dry","03",50343,"RIL_072","null",10.8676192597334,123.297014317026,15.2310077247613,0.0372186742580664,308.975830336646,1.25692851374231,17.6575850758299,14.2254539319256,-12.3132320649782,31.9914170907342,1.11992162206358,0.394072022995816,0.723568727786337,1.20450298435271,2.34990358420491,1.10355380464289,0.166880914433933,354.002879496799,23.6719386326389,2.89283000284699,238.63497605011,2.50467032768389,21.3105301686901,NA,NA,NA,NA
44,"DR15",2015,"dry","03",50344,"RIL_062","null",17.5577957511027,195.622931582069,14.6373796939682,0.0574138755938448,311.811521923027,1.27958222964351,17.5805100526732,13.7180813562887,-12.4189693427568,33.0270271347534,1.50564431120817,0.509944082595633,0.995274184157059,2.17466943832118,3.74145478137801,1.51236000518902,0.136112941415237,444.400348076926,15.042083276702,1.53116082724306,NA,1.46266067495589,20.387679212032,0.494090290135745,0.505909709910387,7.6133299718595,7.38217407866455
45,"DR15",2015,"dry","03",50345,"RIL_131","null",6.22632534483998,91.9310020658791,11.7609797110273,0.0181574375073908,346.466732008139,1.29109832988793,17.4217621279901,13.2338206707921,-12.2602227962099,32.751138076446,0.737155867383988,0.232385353633409,0.504324846907343,0.96870216865452,1.7199869858699,1.31857827894265,0.138423536701673,215.927935143535,23.0914547661472,4.28378657199888,159.53635129014,2.9783482946653,23.3737504360653,0.450745050309051,0.549254949682913,9.74195074659577,13.8674713981398
46,"DR15",2015,"dry","03",50346,"RIL_042","null",12.4748119909826,130.664530956785,16.1628962551653,0.0398962331665539,321.308897587237,1.22375470794497,17.3654500379831,14.2551345356406,-12.4941562455136,30.8363660081864,0.853895629389481,0.298938688530945,0.553132337304757,1.26342920802645,2.10378749066752,1.44708155670013,0.14404333291652,305.120038745986,16.3133561034099,1.77962220997714,152.73024872173,1.82755633568633,22.0196521992846,0.523977810176598,0.476022189996398,9.11434551047704,7.69316952675445
47,"DR15",2015,"dry","03",50347,"B100","null",23.0606732218946,205.605859447606,18.8911415726735,0.071130113403713,333.557278931304,1.14415613592344,16.6507848344807,14.2949003105445,-11.9909763391949,39.4093264375629,1.65594508282777,0.597560856316187,1.06165488406514,2.05748421762489,3.73346266454123,1.24709367430844,0.161761518558855,482.579132316194,13.3616365243385,1.16482254134799,NA,1.0837867129125,20.0524083831182,0.524676490287909,0.475323509583966,7.49757271211409,6.42661449321187
48,"DR15",2015,"dry","03",50348,"RIL_161","null",17.3471916631629,188.95559669212,16.195209438734,0.0508940185224944,331.325647055705,1.25252407736177,17.3913189348934,13.7728247252718,-12.2596959986317,38.2309997187933,1.53582471305536,0.589802108676386,0.948948063952383,1.96047510439644,3.63238910146631,1.36067489194357,0.161828118787384,409.237158805314,21.6968912821681,1.71207057428998,227.563832774269,1.69714037964263,20.8183202086832,0.487679296550674,0.512320703449511,10.7457849944596,12.0236640522418
49,"DR15",2015,"dry","03",50349,"RIL_033","null",7.43777822784823,102.450179305337,12.1330466937534,0.0207650286318935,357.78465675947,1.22265191081866,17.0833469683694,13.6908592728844,-12.2346532613321,30.6789664747645,0.740234225132549,0.29441411640079,0.445157558797327,1.08876704288206,1.7876389575926,1.38984964434171,0.165567032535239,242.050234488905,26.488668224442,3.04114529704537,153.699921124664,3.22075774723894,22.666952196615,0.486864709164036,0.513135290853883,13.3760982408568,14.4248617826084
50,"DR15",2015,"dry","03",50350,"RIL_121","null",13.101927885809,134.774898133774,16.1632810062439,0.0492233546933731,288.211087096728,1.41533477184312,18.2843332856067,13.15471894965,-12.2700940769975,29.5123814807094,1.09678693433598,0.375191705636126,0.725444106056109,1.53839061040912,2.67736798456425,1.40079739873366,0.14373967128608,380.123143770138,20.0709835681904,2.79736339936539,201.442948009091,1.81777878352563,19.1326464542996,0.473587602435226,0.526412397598865,9.15834551946046,11.5735955851341
51,"DR15",2015,"dry","03",50351,"RIL_163","null",9.96429810277016,121.180608044659,13.1904082754757,0.0327926274162754,318.291505456513,1.31693181139306,17.3474869242002,12.9387458473779,-12.3338001759527,30.7053910581506,0.989392086595261,0.363493935114803,0.624545770342668,1.278339719837,2.25064881732887,1.301080085052,0.162550331032827,289.769607652002,22.7696306321618,2.87908476177407,174.746729029992,2.85665448287933,23.3184145460892,0.486478620971951,0.513521379122407,11.0356634120995,12.4297006308915
52,"DR15",2015,"dry","03",50352,"RIL_059","null",17.9237310158192,192.891928055373,16.3381788408964,0.0599566342061488,314.65064839337,1.26830348455548,17.4133762462743,13.5964228607251,-12.1400786531797,31.5101418977385,1.39987167531721,0.481093708363209,0.925325359295269,1.71864678830497,3.10725100327261,1.22013603993229,0.153568875273025,424.773056645359,13.1507117371766,1.38542192871978,252.80620832836,1.39809393268082,25.0452382889241,0.453592572364546,0.546407427662121,7.44741748509036,7.30741533477778
53,"DR15",2015,"dry","03",50353,"RIL_127","null",17.4396170702067,167.372347947371,18.6438923895311,0.061068985001111,305.811787049126,1.33025915218115,18.1638710213397,13.9649279189705,-12.2028711017922,33.3843987366958,1.4637316836251,0.461823031537226,1.00141824457686,2.36792187559638,3.76885827524094,1.58806630615698,0.124082908112541,432.418992884702,12.9716492135129,1.45187488861245,NA,1.30860677097675,22.3607260311794,NA,NA,NA,NA
54,"DR15",2015,"dry","03",50354,"RIL_174","null",8.10623585160372,94.5836252423679,14.1586157949814,0.0280608045659774,313.055279580583,1.42779666386657,17.918617001729,12.5374956200088,-12.8235092092071,29.9986707268914,1.04552802271371,0.355216479590311,0.690520075645855,1.00965793684563,2.05986314118714,0.958488936169348,0.177350430696824,273.510225016189,24.2827695028908,4.10553913439862,200.662001683364,2.79891418338517,21.9436392692757,NA,NA,NA,NA
55,"DR15",2015,"dry","03",50355,"RIL_016","null",15.342242872098,161.455163234522,15.8830979380248,0.0535673160192962,304.790244361765,1.38296573286112,17.9787167540327,12.9909451019952,-12.3385557280611,31.1078766360274,1.31220892872361,0.484209447402025,0.827481897659306,1.72916978753658,3.06303074573271,1.36052176074055,0.156437035204561,403.820365868629,20.3581812026798,2.21127216648762,260.46064473648,2.22385718879501,22.9217944419171,NA,NA,NA,NA
56,"DR15",2015,"dry","03",50356,"RIL_218","null",10.4538968252305,121.214030472856,15.0160996731343,0.0327780871062388,324.384208354089,1.28169302605632,17.3944197542505,13.4737860902112,-12.1582189109981,35.5475294877234,0.987436610507558,0.323693431167941,0.666785529818218,1.5569791910313,2.5366030277236,1.67124343800532,0.130611140920976,340.305218464241,15.1151329510621,1.38987891062779,195.899894454691,1.15256181263757,19.3661430369592,NA,NA,NA,NA
