"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","lfblade_area","lfblade_length","lfblade_width","lfblade_weight","SLA","gN.m2","gC.m2","CN_ratio","d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","branch_number_cbrt","tiller_height","tiller_number","basal_circumference"
27,"DN14",2014,"sparse","32",32027,"RIL_001","null",9.91241976167836,126.693696902617,16.6282345881381,0.0372450996810127,277.854285351994,2.02660213541099,20.0987793886867,10.0131012110935,-12.1446649396474,37.7086225797866,NA,NA,8.96950248703822,12.8393929940413,NA,NA,NA,538.910226621667,2.81051951528943,450.42564318613,6.78955779980865,46.9333596372608
28,"DN14",2014,"sparse","32",32028,"RIL_136","null",11.6110899829435,129.614946395469,18.075292594136,0.0478791650868529,248.397731383308,2.10018753032368,21.1289891263138,10.247818508603,-12.3870776693266,37.7086225797866,5.78977487859387,1.72570558464808,3.85599614942603,9.39483351066986,15.507317323621,1.69223803461862,0.122079235691651,291.909287996041,3.00495158896318,275.086243282975,7.32071174270009,42.1846752587795
29,"DN14",2014,"sparse","32",32029,"RIL_213","null",19.8355902129616,213.886770131658,21.2215938913515,0.0783110414273441,251.252430160633,2.03918658511969,20.765948361922,10.6434336453156,-12.4053662384519,42.2065327119781,9.99043243554018,2.48795925657483,7.26427660912947,14.5064335379769,24.3560735030514,1.3676729675513,0.108029129016138,648.925630048904,1.55057980216196,432.75677878127,4.46419692724084,45.2840818453064
30,"DN14",2014,"sparse","32",32030,"RIL_047","null",10.8865032130325,134.196472928685,20.6309876723404,0.0374617500465604,304.632168772611,2.02870063404049,19.1589037443865,9.28461736499038,-12.3958799128397,38.8279435694383,7.40652125682961,2.5639866767467,4.79807225136279,9.27066160670852,17.3706169228974,1.44195246165385,0.141698652817866,361.520746714168,2.6041493187499,335.942226938157,6.65528386318925,46.5850472129435
31,"DN14",2014,"sparse","32",32031,"RIL_016","null",15.3409970544886,157.374145647343,19.5019680953363,0.0612119331757612,253.348715591901,2.04886716731922,20.0205869397477,9.79952771914041,-12.2679920375542,36.7887650491136,8.36587573730361,2.55437987228952,5.86038694741552,13.3185122728923,21.6133959151713,1.6139172158737,0.114298840306457,392.076956108252,2.38345310890727,368.313231406859,7.37250361837586,40.9387895995292
32,"DN14",2014,"sparse","32",32032,"A10","null",5.97229408152581,107.411783241731,14.4804572781064,0.027243609795905,228.218928490639,2.29181447903805,22.3336559743165,9.6202808264571,-12.5086086864156,35.584125743125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9391476049027
33,"DN14",2014,"sparse","32",32033,"RIL_221","null",9.90857827674166,123.599402171964,17.8731659432415,0.039817805012408,260.684566051192,2.09096407499385,20.330709815437,9.75319986318613,-12.3855930991362,39.4164591962696,7.48262440792415,2.01141620385884,5.41716857913122,9.5282189404431,17.3374741418313,1.33734707205338,0.1170170858855,386.91995403653,2.9437942499536,338.804781133825,6.85471843858849,43.2452230946795
34,"DN14",2014,"sparse","32",32034,"RIL_089","null",23.773902619058,218.251496147073,27.129909168198,0.101493680753477,235.488558913533,2.01495794495903,20.2234156739846,10.2935406595145,-12.4016695277089,37.1811088003344,9.71336797773659,3.19717051989771,6.5171471079387,15.1256376935734,24.6781215576092,1.54770949819374,0.126624641354482,501.962144478868,2.08352843373869,415.733844694838,5.51621661635188,47.3067871581136
35,"DN14",2014,"sparse","32",32035,"RIL_140","null",12.0392902307768,136.248681248507,17.6194522850028,0.048609843068256,254.727316431886,2.0923415492138,20.0662919742586,9.55136956059803,-12.6537072634436,40.4681951718056,6.95249544201387,2.00449853122954,4.83568140938428,8.62830371180922,15.9987168199391,1.31408906393539,0.126113971620617,426.330341495724,2.6354525343089,363.250557700292,5.55816840476247,39.5614512306569
36,"DN14",2014,"sparse","32",32036,"RIL_156","null",9.77595056317317,130.6590549073,16.7675205561701,0.0353520534976115,283.608690811213,2.02443935863886,19.9671769861237,9.94057516880889,-12.6798172573302,41.022918291579,8.24888017943841,2.42559092346654,5.7925290940193,6.65459259285428,15.6485571503426,0.93082682152462,0.155704184203875,375.120859962278,2.60717166292763,331.062508910074,6.84741143017902,43.8233714955246
