"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","trait","data","trait_old"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"leaf_mass_per_m2",112.19,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"panicle_mass_per_plant",16.17,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"panicle_mass_per_m2",581.99,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"stem_mass_per_plant",7.94,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32078,3,"stem_mass_per_m2",285.70,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32093,3,"leaf_mass_per_plant",4.23,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32093,3,"leaf_mass_per_m2",152.38,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32093,3,"panicle_mass_per_plant",15.84,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32093,3,"panicle_mass_per_m2",570.20,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32093,3,"stem_mass_per_plant",8.56,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32093,3,"stem_mass_per_m2",308.04,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32123,3,"leaf_mass_per_plant",5.34,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32123,3,"leaf_mass_per_m2",192.07,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32123,3,"panicle_mass_per_plant",14.78,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32123,3,"panicle_mass_per_m2",532.12,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32123,3,"stem_mass_per_plant",6.61,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32123,3,"stem_mass_per_m2",237.88,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32160,3,"leaf_mass_per_plant",5.42,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32160,3,"leaf_mass_per_m2",195.01,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32160,3,"panicle_mass_per_plant",20.19,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32160,3,"panicle_mass_per_m2",726.86,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32160,3,"stem_mass_per_plant",11.50,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32160,3,"stem_mass_per_m2",413.91,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32167,3,"leaf_mass_per_plant",3.77,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32167,3,"leaf_mass_per_m2",135.75,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32167,3,"panicle_mass_per_plant",12.96,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32167,3,"panicle_mass_per_m2",466.69,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32167,3,"stem_mass_per_plant",8.49,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32167,3,"stem_mass_per_m2",305.63,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32169,3,"leaf_mass_per_plant",3.17,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32169,3,"leaf_mass_per_m2",114.24,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32169,3,"panicle_mass_per_plant",16.38,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32169,3,"panicle_mass_per_m2",589.68,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32169,3,"stem_mass_per_plant",9.04,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32169,3,"stem_mass_per_m2",325.35,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32199,3,"leaf_mass_per_plant",7.74,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32199,3,"leaf_mass_per_m2",278.57,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32199,3,"panicle_mass_per_plant",22.08,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32199,3,"panicle_mass_per_m2",794.81,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32199,3,"stem_mass_per_plant",14.05,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"B100","low_density",32,32199,3,"stem_mass_per_m2",505.83,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_001","low_density",32,32027,3,"panicle_mass_per_plant",12.45,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_001","low_density",32,32027,3,"panicle_mass_per_m2",448.20,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_001","low_density",32,32027,3,"stem_mass_per_plant",10.63,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_001","low_density",32,32027,3,"stem_mass_per_m2",382.58,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_002","low_density",32,32017,3,"leaf_mass_per_plant",2.15,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_002","low_density",32,32017,3,"leaf_mass_per_m2",77.55,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_002","low_density",32,32017,3,"panicle_mass_per_plant",8.44,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_002","low_density",32,32017,3,"panicle_mass_per_m2",303.71,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_002","low_density",32,32017,3,"stem_mass_per_plant",6.32,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_002","low_density",32,32017,3,"stem_mass_per_m2",227.38,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_004","low_density",32,32162,3,"leaf_mass_per_plant",3.58,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_004","low_density",32,32162,3,"leaf_mass_per_m2",128.98,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_004","low_density",32,32162,3,"panicle_mass_per_plant",25.48,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_004","low_density",32,32162,3,"panicle_mass_per_m2",917.45,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_004","low_density",32,32162,3,"stem_mass_per_plant",9.98,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_004","low_density",32,32162,3,"stem_mass_per_m2",359.36,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_005","low_density",32,32053,3,"leaf_mass_per_plant",1.28,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_005","low_density",32,32053,3,"leaf_mass_per_m2",46.19,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_005","low_density",32,32053,3,"panicle_mass_per_plant",6.94,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_005","low_density",32,32053,3,"panicle_mass_per_m2",249.83,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_005","low_density",32,32053,3,"stem_mass_per_plant",2.69,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_005","low_density",32,32053,3,"stem_mass_per_m2",96.71,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_006","low_density",32,32139,3,"leaf_mass_per_plant",6.00,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_006","low_density",32,32139,3,"leaf_mass_per_m2",216.05,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_006","low_density",32,32139,3,"panicle_mass_per_plant",32.00,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_006","low_density",32,32139,3,"panicle_mass_per_m2",1152.17,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_006","low_density",32,32139,3,"stem_mass_per_plant",11.65,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_006","low_density",32,32139,3,"stem_mass_per_m2",419.43,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_007","low_density",32,32042,3,"leaf_mass_per_plant",1.95,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_007","low_density",32,32042,3,"leaf_mass_per_m2",70.04,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_007","low_density",32,32042,3,"panicle_mass_per_plant",8.46,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_007","low_density",32,32042,3,"panicle_mass_per_m2",304.53,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_007","low_density",32,32042,3,"stem_mass_per_plant",4.58,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_007","low_density",32,32042,3,"stem_mass_per_m2",164.71,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_008","low_density",32,32191,3,"leaf_mass_per_plant",1.32,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_008","low_density",32,32191,3,"leaf_mass_per_m2",47.47,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_008","low_density",32,32191,3,"panicle_mass_per_plant",7.92,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_008","low_density",32,32191,3,"panicle_mass_per_m2",285.01,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_008","low_density",32,32191,3,"stem_mass_per_plant",4.43,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_008","low_density",32,32191,3,"stem_mass_per_m2",159.36,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_010","low_density",32,32188,3,"leaf_mass_per_plant",2.83,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_010","low_density",32,32188,3,"leaf_mass_per_m2",102.03,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_010","low_density",32,32188,3,"panicle_mass_per_plant",9.95,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_010","low_density",32,32188,3,"panicle_mass_per_m2",358.11,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_010","low_density",32,32188,3,"stem_mass_per_plant",6.16,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_010","low_density",32,32188,3,"stem_mass_per_m2",221.63,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_011","low_density",32,32115,3,"leaf_mass_per_plant",2.00,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_011","low_density",32,32115,3,"leaf_mass_per_m2",72.10,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_011","low_density",32,32115,3,"panicle_mass_per_plant",10.85,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_011","low_density",32,32115,3,"panicle_mass_per_m2",390.44,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_011","low_density",32,32115,3,"stem_mass_per_plant",5.81,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_011","low_density",32,32115,3,"stem_mass_per_m2",209.08,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_013","low_density",32,32164,3,"leaf_mass_per_plant",2.93,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_013","low_density",32,32164,3,"leaf_mass_per_m2",105.35,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_013","low_density",32,32164,3,"panicle_mass_per_plant",18.81,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_013","low_density",32,32164,3,"panicle_mass_per_m2",677.01,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_013","low_density",32,32164,3,"stem_mass_per_plant",7.17,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_013","low_density",32,32164,3,"stem_mass_per_m2",258.18,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_014","low_density",32,32155,3,"leaf_mass_per_plant",2.22,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_014","low_density",32,32155,3,"leaf_mass_per_m2",80.10,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_014","low_density",32,32155,3,"panicle_mass_per_plant",17.01,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_014","low_density",32,32155,3,"panicle_mass_per_m2",612.47,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_014","low_density",32,32155,3,"stem_mass_per_plant",7.36,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_014","low_density",32,32155,3,"stem_mass_per_m2",264.88,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_015","low_density",32,32171,3,"leaf_mass_per_plant",0.67,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_015","low_density",32,32171,3,"leaf_mass_per_m2",23.98,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_015","low_density",32,32171,3,"panicle_mass_per_plant",2.81,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_015","low_density",32,32171,3,"panicle_mass_per_m2",101.00,"panicle_mass_per_m2"
