"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","number_plants_harvested","trait","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"culm_height",2,".",230.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"culm_height",3,".",281.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"second_tiller_height",1,".",123.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"second_tiller_height",2,".",262.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"second_tiller_height",3,".",266.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"tiller_number_per_plant",1,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"tiller_number_per_plant",2,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_190","high_density",31,31005,41910,3,"tiller_number_per_plant",3,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"basal_circumference",1,".",18.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"basal_circumference",2,".",32.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"basal_circumference",3,".",23.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"branch_number_per_plant",1,".",5.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"branch_number_per_plant",2,".",6.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"branch_number_per_plant",3,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"culm_height",1,".",95.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"culm_height",2,".",315.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"culm_height",3,".",247.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"second_tiller_height",1,".",125.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"second_tiller_height",2,".",195.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"second_tiller_height",3,".","."
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"tiller_number_per_plant",1,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"tiller_number_per_plant",2,".",4.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_188","high_density",31,31006,41910,3,"tiller_number_per_plant",3,".",1.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"basal_circumference",1,".",30.000
