"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","date","DOY","subsample_num","trait","flag","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,3,"branch_number_per_plant_sqrt",".",1.732
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,3,"tiller_number_per_plant_sqrt",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,3,"leaf_number_per_plant_sqrt",".",3.742
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,3,"panicle_number_per_plant_sqrt",".",1.732
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"Panicle_number_per_plant",".",5.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"leaf_number_per_plant",".",10.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"culm_height",".",264.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"second_tiller_height",".",50.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"tiller_number_per_plant",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"branch_number_per_plant",".",4.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"branch_number_per_plant_sqrt",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"tiller_number_per_plant_sqrt",".",1.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"leaf_number_per_plant_sqrt",".",3.162
2013,"density","JGI","rain_fed",400,123,134,"RIL_076","high_density",31,31002,4,"07/29/2013",210,4,"panicle_number_per_plant_sqrt",".",2.236
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"Panicle_number_per_plant",".",21.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"leaf_number_per_plant",".",49.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"culm_height",".",335.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"second_tiller_height",".",324.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"Panicle_Length",".",84.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"tiller_number_per_plant",".",3.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"branch_number_per_plant",".",10.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"branch_number_per_plant_sqrt",".",3.162
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"tiller_number_per_plant_sqrt",".",1.732
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"leaf_number_per_plant_sqrt",".",7.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,1,"panicle_number_per_plant_sqrt",".",4.583
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"Panicle_number_per_plant",".",15.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"leaf_number_per_plant",".",38.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"culm_height",".",475.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"second_tiller_height",".",448.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"tiller_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"branch_number_per_plant",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"branch_number_per_plant_sqrt",".","."
