"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","treatment_start","genotype","treatment","plot","subplot_ID","DOY","trait","subsample_num","flag","data"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"second_tiller_height",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"tiller_number_per_plant",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"branch_number_per_plant",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"leaf_number_per_plant",4,".",12.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"panicle_number_per_plant",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"tiller_number_per_plant_sqrt",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_170","wet",15,15004,280,"branch_number_per_plant_sqrt",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"culm_height",1,".",442.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"second_tiller_height",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"tiller_number_per_plant",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"branch_number_per_plant",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"leaf_number_per_plant",1,".",17.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"panicle_number_per_plant",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"tiller_number_per_plant_sqrt",1,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"branch_number_per_plant_sqrt",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"culm_height",2,".",536.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"second_tiller_height",2,".",264.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"tiller_number_per_plant",2,".",4.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"branch_number_per_plant",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"leaf_number_per_plant",2,".",43.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"panicle_number_per_plant",2,".",4.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"tiller_number_per_plant_sqrt",2,".",2.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"branch_number_per_plant_sqrt",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"culm_height",3,".",521.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"second_tiller_height",3,".",250.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"tiller_number_per_plant",3,".",2.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"branch_number_per_plant",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"leaf_number_per_plant",3,".",23.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"panicle_number_per_plant",3,".",2.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"tiller_number_per_plant_sqrt",3,".",1.41
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"branch_number_per_plant_sqrt",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"culm_height",4,".",477.00
