"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","DOY","trait","measurement_number","rep","flag","data"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32019,41862.00,223,"Height",1,2,".",4.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32019,41862.00,223,"Height",1,3,".",2.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32032,41862.00,223,"Height",1,1,".",10.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32032,41862.00,223,"Height",1,2,".",11.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32032,41862.00,223,"Height",1,3,".",11.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32107,41862.00,223,"Height",1,1,".",5.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32107,41862.00,223,"Height",1,2,".",10.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32107,41862.00,223,"Height",1,3,".",9.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32110,41862.00,223,"Height",1,1,".",9.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32110,41862.00,223,"Height",1,2,".",12.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32110,41862.00,223,"Height",1,3,".",7.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32126,41862.00,223,"Height",1,1,".",9.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32126,41862.00,223,"Height",1,2,".",6.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32126,41862.00,223,"Height",1,3,".",8.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32144,41862.00,223,"Height",1,1,".",8.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32144,41862.00,223,"Height",1,2,".",3.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32144,41862.00,223,"Height",1,3,".",4.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32187,41862.00,223,"Height",1,1,".",4.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32187,41862.00,223,"Height",1,2,".",3.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32187,41862.00,223,"Height",1,3,".",6.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32008,41883.71,244,"Height",2,1,".",12.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32008,41883.00,244,"Height",2,2,".",17.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32008,41883.00,244,"Height",2,3,".",14.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32012,41883.00,244,"Height",2,1,".",10.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32012,41883.00,244,"Height",2,2,".",10.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32012,41883.00,244,"Height",2,3,".",11.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32019,41883.00,244,"Height",2,1,".",11.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32019,41883.00,244,"Height",2,2,".",12.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32019,41883.00,244,"Height",2,3,".",10.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32032,41883.00,244,"Height",2,1,".",11.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32032,41883.00,244,"Height",2,2,".",20.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32032,41883.00,244,"Height",2,3,".",12.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32107,41883.00,244,"Height",2,1,".",16.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32107,41883.00,244,"Height",2,2,".",17.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32107,41883.00,244,"Height",2,3,".",15.0
