"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","trait","emergence_DOY","emergence_DAS"
2014,"density","JGI","rain_fed",400,198,205,"RIL_125","high_density",31,31104,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"RIL_082","high_density",31,31105,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_219","high_density",31,31106,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31107,"panicle_emergence",227,29
2014,"density","JGI","rain_fed",400,198,205,"RIL_020","high_density",31,31108,"panicle_emergence",239,41
2014,"density","JGI","rain_fed",400,198,205,"RIL_194","high_density",31,31109,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31110,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_115","high_density",31,31111,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_096","high_density",31,31112,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_185","high_density",31,31113,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"RIL_025","high_density",31,31114,"panicle_emergence",232,34
2014,"density","JGI","rain_fed",400,198,205,"RIL_011","high_density",31,31115,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_208","high_density",31,31116,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_085","high_density",31,31117,"panicle_emergence",228,30
2014,"density","JGI","rain_fed",400,198,205,"RIL_056","high_density",31,31118,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_053","high_density",31,31119,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_031","high_density",31,31120,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_129","high_density",31,31121,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_036","high_density",31,31122,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"B100","high_density",31,31123,"panicle_emergence",239,41
2014,"density","JGI","rain_fed",400,198,205,"RIL_035","high_density",31,31124,"panicle_emergence",242,44
2014,"density","JGI","rain_fed",400,198,205,"RIL_087","high_density",31,31125,"panicle_emergence",224,26
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31126,"panicle_emergence",227,29
2014,"density","JGI","rain_fed",400,198,205,"RIL_218","high_density",31,31127,"panicle_emergence",236,38
