"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","DOY","subsample_num","trait","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,2,"branch_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,3,"branch_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,1,"culm_height",306
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,2,"culm_height",271
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,3,"culm_height",159
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,1,"leaf_number_per_plant",23
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,2,"leaf_number_per_plant",20
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,3,"leaf_number_per_plant",7
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,1,"Panicle_Length",76
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,2,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,3,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,1,"Panicle_number_per_plant",8
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,2,"Panicle_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,3,"Panicle_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,1,"second_tiller_height",162
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,2,"second_tiller_height",209
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,3,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,1,"tiller_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,2,"tiller_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"RIL_074","high_density",31,31004,210,3,"tiller_number_per_plant",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,1,"branch_number_per_plant",4
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,2,"branch_number_per_plant",7
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,3,"branch_number_per_plant",6
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,4,"branch_number_per_plant",7
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,1,"culm_height",154
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,2,"culm_height",159
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,3,"culm_height",221
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,4,"culm_height",190
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,1,"leaf_number_per_plant",23
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,2,"leaf_number_per_plant",24
